Date,C36159_BSICG,C36159_BSICT,C36159_DOZ,C36159_FOR10K,C36159_MDLNSAH,C36159_MDLSAAH,C36159_MLNSAH,C36159_MLSAAH,C36159_MTURN,C36159_NMLNSAH,C36159_NMLSAAH,C36159_SC,C36159_SCBT,C36159_SCMT,C36159_SCSA,C36159_SCSABT,C36159_SCSAMT,C36159_SCSATT,C36159_SCTT,C36159_SP,C36159_SPBT,C36159_SPFS,C36159_SPMT,C36159_SPTT,C36159_STLR
10/31/2017,5.62,5.75,64,0.72,5288,5185,6918,7018,0.0072,1818,1911,3433,1532,823,3326,1560,818,621,622,197600,128500,0.0035,243400,423200,0.974195892
11/30/2017,5.94,6.13,64,1.31,5378,5143,7390,7102,0.0063,1872,1967,2998,1473,790,3447,1585,915,646,542,200400,133800,0.0067,245600,430100,0.970588235
12/31/2017,5.62,6.42,66,0.76,5066,5138,6341,7074,0.007,1321,2059,3227,1455,812,3530,1596,942,679,636,202700,130800,0.0062,247500,438700,0.967731526
1/31/2018,5.94,6.7,77,0.62,4863,5087,7042,7052,0.0059,2352,2188,2864,1383,664,3582,1616,988,733,553,206700,131000,0.0045,248900,453700,0.971428571
2/28/2018,5.94,7.83,71,0.72,5131,5059,6958,6953,0.0068,2308,2227,3377,1495,880,3644,1599,975,724,583,210700,127800,0.0038,249400,458100,0.974025974
3/31/2018,6.25,8.87,57,0.69,5212,5115,7013,6822,0.0078,2388,2092,3782,1715,1027,3648,1599,993,723,756,213600,133900,0.0029,251700,456600,0.978461538
4/30/2018,5.94,9.62,54,0.38,5341,5184,7234,6962,0.0079,2123,2044,3887,1587,1026,3660,1570,970,701,796,216400,135100,0.0046,252900,447500,0.981132075
5/31/2018,5.94,9.81,55,0.43,5332,5225,7734,7160,0.0082,2487,2157,3986,1728,1108,3550,1568,923,700,860,215900,138100,0.0023,255500,445400,0.982142857
6/30/2018,5.94,9.91,55,0.29,5282,5266,7129,7104,0.0081,2207,2095,3938,1702,1072,3516,1545,906,687,782,216200,137200,0.0033,258500,448500,0.980707196
7/31/2018,5.62,9.72,57,0.55,5145,5287,6812,7068,0.0079,1731,1939,3910,1599,1052,3524,1546,912,707,854,218300,141100,0.0036,259100,462200,0.98245614
8/31/2018,6.25,9.43,57,0.41,5035,5255,7175,7142,0.0076,2077,1940,3710,1657,951,3489,1539,895,695,733,218800,141100,0.0013,259600,469200,0.977590861
9/30/2018,5.94,9.06,60,0.26,5027,5165,6687,7100,0.006,1790,1999,3024,1436,809,3378,1521,865,675,543,220000,146300,0.0026,259100,468300,0.973451327
10/31/2018,5.94,8.96,60,0.38,5185,5094,7287,7004,0.0069,2242,2065,3393,1441,908,3293,1498,864,645,686,219500,148900,0.0056,259200,470200,0.974441325
11/30/2018,5.94,8.58,60,,5372,5130,6737,6883,,1790,2021,3066,1429,763,3403,1507,929,717,654,223700,153800,0.0046,261800,480700,0.973328527
12/31/2018,5.94,8.77,63,,5110,5257,6376,7008,,1263,1997,2941,1403,762,3441,1530,940,721,553,224200,150400,0.0061,262000,483200,0.972601562
1/31/2019,5.62,8.3,75,,5232,5418,7329,7304,,2296,2080,2590,1230,635,3392,1521,943,737,516,227000,147000,0.0054,265200,475400,0.969355847
2/28/2019,5.94,7.92,72,,5656,5529,7333,7360,,2051,2059,2907,1374,785,3248,1478,904,662,546,227900,147800,0.0041,265600,468400,0.970338983
3/31/2019,6.25,7.08,61,,5666,5553,7610,7307,,2299,1956,3676,1624,914,3322,1468,906,713,830,232300,151800,0.0035,268400,477400,0.97495183
4/30/2019,6.56,6.89,61,,5673,5441,7621,7318,,2028,1881,4019,1670,1157,3489,1525,936,723,845,233100,156400,0.0015,270300,485100,0.975306635
5/31/2019,5.94,7.45,57,,5272,5181,7809,7186,,2124,1846,4320,1704,1288,3656,1559,977,782,1024,235200,155900,0.0039,271000,489400,0.979995998
6/30/2019,5.94,8.49,59,,4923,4928,6743,6865,,1798,1854,3940,1576,1219,3656,1526,1035,768,862,236900,156700,0.003,271500,489900,0.979818345
7/31/2019,5.94,9.34,59,,4588,4714,6582,6523,,1949,1894,3942,1700,1196,3633,1533,1045,760,809,237600,157300,0.0025,270800,485300,0.980049002
8/31/2019,5.62,10,,,4217,4543,5833,6223,,1851,1878,3852,1629,1116,3543,1525,1028,708,748,235700,154800,0.0021,270000,477500,
